,Gender,Age,Country,Education,Major,Profession,Industry,Experience,Annual_Salary,target
2,Male,30-34,Oceania,Bachelor’s degree,Engineering (non-computer focused),Other,Manufacturing/Fabrication,5-10,"10-20,000",15000
3,Female,30-34,USA,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,0-1,"0-10,000",5000
5,Male,22-24,India,Master’s degree,Mathematics or statistics,Data Analyst,I am a student,0-1,"0-10,000",5000
7,Male,35-39,South America,Doctoral degree,"Information technology, networking, or system administration",Other,Academics/Education,10-15,"10-20,000",15000
8,Male,18-21,India,Master’s degree,"Information technology, networking, or system administration",Other,Other,0-1,"0-10,000",5000
10,Male,30-34,Europe,Master’s degree,Engineering (non-computer focused),Software Engineer,Online Service/Internet-based Services,3-4,"20-30,000",25000
12,Male,40-44,USA,Master’s degree,Engineering (non-computer focused),Data Scientist,Other,5-10,"125-150,000",137500
13,Male,25-29,Europe,Doctoral degree,Mathematics or statistics,Student,I am a student,,"30-40,000",35000
14,Male,25-29,USA,Bachelor’s degree,Mathematics or statistics,Research Assistant,Academics/Education,1-2,"30-40,000",35000
15,Female,25-29,South America,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Other,1-2,"10-20,000",15000
16,Male,25-29,Asia,Master’s degree,Engineering (non-computer focused),Data Scientist,Medical/Pharmaceutical,0-1,"30-40,000",35000
17,Male,40-44,South America,Master’s degree,Environmental science or geology,Data Scientist,Energy/Mining,1-2,"50-60,000",55000
18,Male,25-29,Africa,Professional degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Other,Retail/Sales,2-3,"0-10,000",5000
19,Male,35-39,USA,Some college/university study without earning a bachelor’s degree,"Computer science (software engineering, etc.)",Other,Military/Security/Defense,5-10,"100-125,000",112500
20,Male,55-59,Europe,Some college/university study without earning a bachelor’s degree,I never declared a major,Data Scientist,Energy/Mining,5-10,"30-40,000",35000
21,Female,30-34,Other,Master’s degree,Engineering (non-computer focused),Chief Officer,Computers/Technology,0-1,"50-60,000",55000
23,Male,30-34,USA,Bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Manager,Insurance/Risk Assessment,2-3,"90-100,000",95000
24,Female,25-29,Middle East,Master’s degree,"Computer science (software engineering, etc.)",Research Scientist,Computers/Technology,0-1,"0-10,000",5000
25,Male,30-34,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Online Service/Internet-based Services,5-10,"70-80,000",75000
26,Male,25-29,Asia,Master’s degree,Other,Research Assistant,Academics/Education,1-2,"0-10,000",5000
27,Male,30-34,India,Bachelor’s degree,Engineering (non-computer focused),Other,Other,2-3,"0-10,000",5000
28,Female,30-34,USA,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Analyst,Computers/Technology,2-3,"80-90,000",85000
29,Female,40-44,Europe,Master’s degree,Mathematics or statistics,Business Analyst,Computers/Technology,10-15,"10-20,000",15000
30,Female,25-29,Africa,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,2-3,"10-20,000",15000
32,Male,30-34,Europe,Master’s degree,Other,Business Analyst,Hospitality/Entertainment/Sports,1-2,"70-80,000",75000
33,Male,35-39,Europe,Master’s degree,"Computer science (software engineering, etc.)",Data Scientist,Broadcasting/Communications,0-1,"100-125,000",112500
35,Female,25-29,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Accounting/Finance,1-2,"60-70,000",65000
36,Male,30-34,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,5-10,"90-100,000",95000
38,Male,22-24,North America,Doctoral degree,Engineering (non-computer focused),Software Engineer,Computers/Technology,0-1,"30-40,000",35000
39,Male,30-34,Oceania,Doctoral degree,Physics or astronomy,Data Scientist,Academics/Education,2-3,"80-90,000",85000
40,Male,22-24,USA,Bachelor’s degree,"Computer science (software engineering, etc.)",Other,Shipping/Transportation,3-4,"10-20,000",15000
41,Male,40-44,USA,Doctoral degree,"Computer science (software engineering, etc.)",Software Engineer,Online Service/Internet-based Services,10-15,"400-500,000",450000
42,Male,25-29,Asia,Master’s degree,"Computer science (software engineering, etc.)",Research Scientist,Computers/Technology,1-2,"40-50,000",45000
43,Male,22-24,Other,Master’s degree,"Information technology, networking, or system administration",Data Scientist,Computers/Technology,0-1,"0-10,000",5000
45,Male,30-34,Russia,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Software Engineer,Online Business/Internet-based Sales,10-15,"10-20,000",15000
46,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,15-20,"0-10,000",5000
47,Male,35-39,Middle East,Master’s degree,"Information technology, networking, or system administration",Data Analyst,Manufacturing/Fabrication,5-10,"0-10,000",5000
48,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,0-1,"0-10,000",5000
50,Male,25-29,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Student,Academics/Education,1-2,"10-20,000",15000
51,Male,25-29,Europe,Bachelor’s degree,Mathematics or statistics,Data Scientist,Accounting/Finance,4-5,"70-80,000",75000
52,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Scientist,I am a student,0-1,"0-10,000",5000
53,Male,30-34,North America,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Student,Accounting/Finance,3-4,"125-150,000",137500
54,Male,35-39,North America,Doctoral degree,Engineering (non-computer focused),Other,Academics/Education,5-10,"20-30,000",25000
55,Male,30-34,Europe,Doctoral degree,Physics or astronomy,Software Engineer,Broadcasting/Communications,3-4,"70-80,000",75000
57,Male,30-34,Europe,Master’s degree,Engineering (non-computer focused),Consultant,Accounting/Finance,4-5,"40-50,000",45000
58,Male,18-21,USA,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,I am a student,5-10,"50-60,000",55000
59,Male,25-29,dna,Doctoral degree,Engineering (non-computer focused),Data Scientist,Computers/Technology,0-1,"50-60,000",55000
60,Male,25-29,Europe,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Data Analyst,Online Service/Internet-based Services,1-2,"40-50,000",45000
61,Male,30-34,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,5-10,"40-50,000",45000
62,Male,40-44,Russia,Doctoral degree,Mathematics or statistics,Software Engineer,Computers/Technology,1-2,"30-40,000",35000
64,Male,30-34,USA,Doctoral degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Scientist,Medical/Pharmaceutical,3-4,"125-150,000",137500
65,Male,30-34,USA,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Analyst,Computers/Technology,1-2,"70-80,000",75000
66,Female,25-29,Asia,Master’s degree,Mathematics or statistics,Data Analyst,Insurance/Risk Assessment,1-2,"30-40,000",35000
68,Male,35-39,USA,Doctoral degree,Other,Research Scientist,Government/Public Service,3-4,"100-125,000",112500
69,Male,40-44,Europe,Master’s degree,Engineering (non-computer focused),Data Scientist,Other,0-1,"40-50,000",45000
70,Male,35-39,USA,Master’s degree,Engineering (non-computer focused),Software Engineer,Accounting/Finance,4-5,"100-125,000",112500
71,Female,30-34,USA,Master’s degree,"Medical or life sciences (biology, chemistry, medicine, etc.)",Data Engineer,Computers/Technology,2-3,"100-125,000",112500
72,Male,22-24,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Software Engineer,Computers/Technology,0-1,"30-40,000",35000
73,Female,35-39,USA,Doctoral degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Scientist,Non-profit/Service,10-15,"125-150,000",137500
74,Male,30-34,Europe,Master’s degree,Mathematics or statistics,Data Scientist,Energy/Mining,1-2,"70-80,000",75000
75,Male,18-21,Oceania,Master’s degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,1-2,"0-10,000",5000
76,Male,40-44,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Manufacturing/Fabrication,1-2,"40-50,000",45000
78,Male,25-29,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,0-1,"50-60,000",55000
79,Male,25-29,South America,Master’s degree,"A business discipline (accounting, economics, finance, etc.)",Research Scientist,Accounting/Finance,3-4,"100-125,000",112500
81,Male,35-39,Europe,Doctoral degree,"Computer science (software engineering, etc.)",Data Scientist,Government/Public Service,2-3,"70-80,000",75000
82,Male,22-24,India,Bachelor’s degree,Engineering (non-computer focused),Software Engineer,Other,0-1,"0-10,000",5000
83,Male,25-29,China,Master’s degree,"Computer science (software engineering, etc.)",Data Analyst,Computers/Technology,0-1,"30-40,000",35000
84,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Data Analyst,Medical/Pharmaceutical,0-1,"0-10,000",5000
85,Male,18-21,India,Bachelor’s degree,"Computer science (software engineering, etc.)",Student,Academics/Education,0-1,"0-10,000",5000
86,Male,22-24,Europe,Master’s degree,Physics or astronomy,Research Assistant,Academics/Education,1-2,"20-30,000",25000
87,Male,30-34,Europe,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,5-10,"50-60,000",55000
89,Male,35-39,USA,Doctoral degree,Physics or astronomy,Developer Advocate,Computers/Technology,2-3,"150-200,000",175000
90,Female,25-29,USA,Some college/university study without earning a bachelor’s degree,"Social sciences (anthropology, psychology, sociology, etc.)",Data Analyst,Marketing/CRM,0-1,"60-70,000",65000
91,Male,35-39,USA,Master’s degree,"Computer science (software engineering, etc.)",Software Engineer,Accounting/Finance,4-5,"80-90,000",85000
92,Male,35-39,USA,Master’s degree,"Humanities (history, literature, philosophy, etc.)",Data Scientist,Online Service/Internet-based Services,1-2,"125-150,000",137500
93,Male,60-69,India,Master’s degree,Mathematics or statistics,Consultant,Government/Public Service,2-3,"20-30,000",25000
94,Male,22-24,USA,Bachelor’s degree,Mathematics or statistics,Data Analyst,Other,0-1,"10-20,000",15000
97,Male,60-69,USA,Some college/university study without earning a bachelor’s degree,"A business discipline (accounting, economics, finance, etc.)",Other,Shipping/Transportation,3-4,"100-125,000",112500
98,Male,25-29,USA,Doctoral degree,Engineering (non-computer focused),Data Scientist,Insurance/Risk Assessment,0-1,"125-150,000",137500
99,Male,30-34,Africa,Master’s degree,Engineering (non-computer focused),Data Scientist,Accounting/Finance,1-2,"60-70,000",65000
100,Male,30-34,Other,Doctoral degree,"Computer science (software engineering, etc.)",Research Assistant,Academics/Education,3-4,"0-10,000",5000
101,Female,45-49,Europe,Doctoral degree,"Humanities (history, literature, philosophy, etc.)",Data Analyst,Other,0-1,"40-50,000",45000
